3 3 0 BB....CC...EFFFAAE..G..E..G.....GDD. D99 C98 B98
3 3 0 .BB..E...CCEFFFAAE..G.....G.....G.DD E99 C99 B99
3 3 0 ..BB.E...CCEFFFAAE..G.....G.....GDD. D99 E99 C99
3 3 0 ..BB...CC...FFFAAE..G..E..G..E..GDD. D99 E99 C99
3 3 0 ...BB...CC..FFFAA...G..E..G..E..GDDE D99 E98 B99
3 3 0 .BB.......CCFFFAAE..G..E..G..E..G.DD E99 C98 B99
3 3 0 BB...ECC...EFFFAAE..G.....G.....G.DD E99 C98 B98
3 3 0 .BB..ECC...EFFFAAE..G.....G.....G.DD E99 C98 B99
3 3 0 ....BB..CC..FFFAA...G..E..G..E..GDDE D99 E98 B98
3 3 0 ..BB.ECC...EFFFAAE..G.....G.....GDD. D99 E99 C98
3 3 0 BB......CC..FFFAA...G..E..G..E..GDDE D99 E98 B98
3 3 0 BB....CC....FFFAAE..G..E..G..E..G.DD E99 C98 B98
3 3 0 BB........CCFFFAAE..G..E..G..E..G.DD E99 C98 B98
3 3 0 BB......CC..FFFAAE..G..E..G..E..GDD. D99 E99 B98
3 3 0 .BB.....CC..FFFAA...G..E..G..E..GDDE D99 E98 B99
3 3 0 ..BB....CC..FFF.AA..G..E..G..E..GDDE D99 E98 A99
