3 3 0 F...B.F...B.EAA.BDE..GGDE....D....CC B99 G99 D98
3 3 0 F.....F...BDEAA.BDEGG.BDE.......CC.. C98 G99 D99
3 3 0 F....DF....DE..AADE.GGB.E...B...CCB. C98 B98 A98
3 3 0 F....DF....DE.AA.DE.GGB.E...B...CCB. C98 B98 A99
3 3 0 F.....F...B..AA.B.E.GGBDE....DECC..D C97 E99 D97
3 3 0 F.....F...BDEAA.BDEGG.BDE........CC. C99 G99 D99
3 3 0 F....DF...BD.AA.BDEGG.B.E.....E.CC.. C98 E99 G99
3 3 0 F.....F.....EAA.B.E.GGBDE...BDCC...D C96 B99 D97
3 3 0 .....DF...BDF.AABDE.GGB.E.....E...CC E99 A99 F99
3 3 0 F....DF....DEAA..DEGG.B.E...B...CCB. C98 B98 G99
3 3 0 F.....F.....EAA...E.GGBDE...BD..CCBD C98 B98 D97
3 3 0 F.....F...B..AA.BDEGG.BDE....DE...CC E99 G99 D98
3 3 0 F.....F.....EAA..DE.GGBDE...BD..CCB. C98 B98 D98
3 3 0 F.....F....DEAA..DE.GGBDE...B...CCB. C98 B98 D99
3 3 0 F.....F...B.EAA.B.EGG.BDE....D...CCD C99 G99 D97
3 3 0 F.....F......AA.BDE.GGBDE...BDE...CC E99 B99 D98
3 3 0 F....DF....DE.AABDEGG.B.E...B.....CC B99 G99 A99
3 3 0 F....DF....DEAA.BDEGG.B.E...B.CC.... C96 B99 G99
3 3 0 F....DF...BDE.AABDEGG.B.E.....CC.... C96 G99 A99
3 3 0 F....DF....DEAA.BDEGG.B.E...B..CC... C97 B99 G99
3 3 0 F....DF....DEAA.BDEGG.B.E...B...CC.. C98 B99 G99
3 3 0 F.....F...B..AA.BDE.GGBDE....DECC... C97 E99 D98
3 3 0 F.....F...B..AA.BDE.GGBDE....DE.CC.. C98 E99 D98
3 3 0 F....DF....DE..AADE.GGB.E...B.CC..B. C96 B98 A98
3 3 0 F....DF....DEAA.BDEGG.B.E...B....CC. C99 B99 G99
3 3 0 F.....F.....EAA.BDEGG.BDE...BD....CC B99 G99 D98
3 3 0 F.....F.....EAA.B.E.GGBDE...BD...CCD C99 B99 D97
3 3 0 F.....F....DEAA.BDEGG.BDE...B.....CC B99 G99 D99
