2 2 0 ...EEECCC...AA...H..BB.H...FFHDD.GGG C99 E99 I1
2 2 0 ..EEE..CCC....AA.H..BB.H...FFHDDGGG. G99 A98 I1
2 2 0 ...EEE.CCC..AA...H..BB.HFF...HDD.GGG F97 E99 I1
2 2 0 ...EEE.CCC..AA...H..BB.H.FF..HDD.GGG F98 E99 I1
2 2 0 ..EEE..CCC.HAA...H..BB.H.FF...DD.GGG H99 F98 I1
2 2 0 ..EEE..CCC...AA..H..BB.H...FFHDDGGG. G99 A99 I1
2 2 0 ..EEE..CCC....AA.HBB...H...FFHDD.GGG B98 A98 I1
2 2 0 ..EEE..CCC...AA..HBB...H...FFHDD.GGG B98 A99 I1
2 2 0 ..EEE..CCC..AA...H...BBH...FFHDDGGG. G99 B99 I1
2 2 0 ..EEE....CCCAA...HBB...H...FFHDD.GGG B98 C98 I1
2 2 0 ..EEE...CCC.AA...HBB...H...FFHDD.GGG B98 C99 I1
2 2 0 ..EEE..CCC.HAA...H..BB.H..FF..DD.GGG H99 F99 I1
2 2 0 ..EEE..CCC..AA...HBB...H...FFHDDGGG. G99 B98 I1
2 2 0 ..EEE.CCC...AA...HBB...H...FFHDD.GGG B98 C99 I1
2 2 0 ..EEE..CCC.....AAH.BB..H...FFHDD.GGG B99 A97 I1
2 2 0 ..EEEH.CCC.H...AAH..BB.....FF.DD.GGG H98 A97 I1
2 2 0 ..EEE..CCC....AA.H..BB.H.FF..HDD.GGG F98 A98 I1
2 2 0 ..EEE..CCC..AA...HBB...HFF...HDD.GGG F97 B98 I1
2 2 0 ..EEE..CCC..AA...H.BB..H...FFHDDGGG. G99 B99 I1
2 2 0 ..EEE..CCC..AA...HBB...H.FF..HDD.GGG F98 B98 I1
2 2 0 ...EEE.CCC..AA...HBB...H...FFHDD.GGG B98 E99 I1
2 2 0 ...EEE.CCC.HAA...H..BB.H...FF.DD.GGG H99 E99 I1
2 2 0 ..EEE....CCCAA...H..BB.H...FFHDDGGG. G99 C98 I1
2 2 0 EEE....CCC..AA...HBB...H...FFHDD.GGG B98 E98 I1
2 2 0 .EEE...CCC..AA...HBB...H...FFHDD.GGG B98 E99 I1
2 2 0 ..EEE...CCC.AA...H..BB.H...FFHDDGGG. G99 C99 I1
2 2 0 ..EEEH.CCC.HAA...HBB.......FF.DD.GGG H98 B98 I1
2 2 0 ..EEE..CCC....AA.H..BB.H...FFH.DDGGG D99 A98 I1
2 2 0 EEE....CCC.HAA...H..BB.H...FF.DD.GGG H99 E98 I1
2 2 0 ..EEE.CCC...AA...H..BB.H...FFHDDGGG. G99 C99 I1
2 2 0 ..EEE..CCC...AA..H..BB.H...FFH.DDGGG D99 A99 I1
2 2 0 ..EEE....CCC...AAH..BB.H...FFHDD.GGG A97 C98 I1
2 2 0 ..EEE..CCC..AA...HBB...H...FFH.DDGGG D99 B98 I1
2 2 0 ..EEE..CCC..AA...H..BB.HFF...HDDGGG. G99 F97 I1
2 2 0 ..EEE..CCC..AA...H.BB..H...FFH.DDGGG D99 B99 I1
2 2 0 ..EEE....CCCAA...H..BB.H...FFH.DDGGG D99 C98 I1
2 2 0 .EEE...CCC.HAA...H..BB.H...FF.DD.GGG H99 E99 I1
